34D8	UTC-00639
2BAF2	UTC-00351
2BAF6	UTC-00569
2BAF7	UTC-00571
2BAF8	UTC-00767
2BAFC	UTC-00565
2BAFF	UTC-00374
2BB00	UTC-00422
2BB02	UTC-00568
2BB03	UTC-00467
2BB07	UTC-00401
2BB08	UTC-00573
2BB09	UTC-00576
2BB0F	UTC-00575
2BB12	UTC-00407
2BB13	UTC-00579
2BB16	UTC-00348
2BB17	UTC-00577
2BB18	UTC-00387
2BB1B	UTC-00350
2BB1C	UTC-00584
2BB1D	UTC-00585
2BB1E	UTC-00587
2BB24	UTC-00378
2BB25	UTC-00412
2BB26	UTC-00574
2BB27	UTC-00586
2BB28	UTC-00436
2BB2C	UTC-00590
2BB33	UTC-00449
2BB35	UTC-00589
2BB36	UTC-00478
2BB37	UTC-00591
2BB3A	UTC-00597
2BB3C	UTC-00596
2BB3E	UTC-00599
2BB3F	UTC-00598
2BB40	UTC-00363
2BB41	UTC-00601
2BB43	UTC-00603
2BB49	UTC-00604
2BB4A	UTC-00605
2BB6B	UTC-00306
2BB91	UTC-00302
2BB9A	UTC-00611
2BBAC	UTC-00098
2BBC4	UTC-00301
2BBE3	UTC-00612
2BBEC	UTC-00305
2BBFD	UTC-00613
2BBFE	UTC-00614
2BC03	UTC-00615
2BC2A	UTC-00617
2BC3A	UTC-00297
2BCA5	UTC-00618
2BCAD	UTC-00622
2BCD7	UTC-00417
2BCD8	UTC-00486
2BCF4	UTC-00624
2BD71	UTC-00424
2BD92	UTC-00629
2BE34	UTC-00330
2BE72	UTC-00298
2BE96	UTC-00433
2BF1B	UTC-00114
2BF1D	UTC-00042
2BF38	UTC-00435
2BF39	UTC-00640
2BF3A	UTC-00642
2BF6E	UTC-00333
2BFA5	UTC-00308
2C028	UTC-00666
2C037	UTC-00113
2C03D	UTC-00233
2C095	UTC-00683
2C0FF	UTC-00670
2C18C	UTC-00673
2C19B	UTC-00106
2C1AE	UTC-00068
2C22A	UTC-00296
2C25F	UTC-00693
2C261	UTC-00440
2C283	UTC-00694
2C2A9	UTC-00695
2C2D0	UTC-00696
2C2D9	UTC-00698
2C381	UTC-00700
2C3ED	UTC-00702
2C3FE	UTC-00706
2C401	UTC-00707
2C415	UTC-00708
2C416	UTC-00710
2C41A	UTC-00101
2C45F	UTC-00713
2C461	UTC-00508
2C494	UTC-00715
2C498	UTC-00546
2C4A1	UTC-00716
2C4F5	UTC-00437
2C4FC	UTC-00669
2C502	UTC-00361
2C580	UTC-00721
2C5B2	UTC-00722
2C5F8	UTC-00788
2C603	UTC-00406
2C61D	UTC-00022
2C62D	UTC-00914
2C650	UTC-00294
2C685	UTC-00727
2C6BB	UTC-00730
2C6C1	UTC-00729
2C6C6	UTC-00320
2C6C7	UTC-00314
2C6F8	UTC-00594
2C70D	UTC-00736
2C710	UTC-00737
2C72F	UTC-00048
2C768	UTC-00245
2C771	UTC-00739
2C775	UTC-00741
2C785	UTC-00762
2C7DE	UTC-00300
2C810	UTC-00744
2C849	UTC-00745
2C850	UTC-00746
2C8A9	UTC-00747
2C8BF	UTC-00419
2C8D9	UTC-00071
2C8FD	UTC-00030
2C925	UTC-00676
2C9A0	UTC-00377
2C9B2	UTC-00748
2C9C4	UTC-00750
2C9CA	UTC-00753
2C9CD	UTC-00751
2C9CE	UTC-00752
2C9DD	UTC-00754
2C9DF	UTC-00383
2C9E5	UTC-00755
2C9E6	UTC-00756
2C9EB	UTC-00757
2C9EF	UTC-00396
2C9F4	UTC-00758
2CA0E	UTC-00024
2CA22	UTC-00759
2CA26	UTC-00760
2CA51	UTC-00761
2CAA9	UTC-00038
2CABF	UTC-00485
2CAF9	UTC-00764
2CB38	UTC-00052
2CBC7	UTC-00765
2CBCC	UTC-00312
2CBCE	UTC-00674
2CC03	UTC-00105
2CC94	UTC-00769
2CC9C	UTC-00097
2CCDD	UTC-00771
2CCF2	UTC-00096
2CD2F	UTC-00772
2CD30	UTC-00773
2CDD0	UTC-00775
2CDD5	UTC-00117
2CDEF	UTC-00444
2CE23	UTC-00680
2CE33	UTC-00364
2CE76	UTC-00774
2CE88	UTC-00013
2D016	UTC-00581
2D11B	UTC-01076
2D213	UTC-00410
2D291	UTC-00429
2D364	UTC-00643
2D3D2	UTC-01214
2D3EC	UTC-01220
2D4E0	UTC-00460
2D613	UTC-01077
2D64F	UTC-01002
2D6A6	UTC-01078
2D70C	UTC-01007
2D85A	UTC-00644
2D8A5	UTC-00655
2D8C7	UTC-01080
2DA12	UTC-01173
2DA86	UTC-01081
2DBAA	UTC-00357
2DC4A	UTC-01082
2DCEC	UTC-00173
2DCFF	UTC-01029
2DE5C	UTC-01084
2DF3C	UTC-00892
2DFF3	UTC-00186
2E014	UTC-01201
2E0AC	UTC-00160
2E0B9	UTC-01041
2E11C	UTC-00111
2E18F	UTC-01086
2E261	UTC-01087
2E262	UTC-01088
2E264	UTC-01089
2E267	UTC-01090
2E268	UTC-01091
2E26A	UTC-01092
2E26B	UTC-01093
2E26C	UTC-01094
2E26F	UTC-01095
2E428	UTC-01097
2E502	UTC-01098
2E505	UTC-01099
2E50A	UTC-01100
2E581	UTC-01101
2E5B1	UTC-01102
2E64A	UTC-01106
2E64B	UTC-01107
2E774	UTC-01111
2E775	UTC-01112
2E778	UTC-01113
2E779	UTC-01115
2E77A	UTC-01114
2E785	UTC-03135
2E81E	UTC-01116
2E8F2	UTC-01117
2E8F3	UTC-01118
2E8F4	UTC-01120
2E8F5	UTC-01121
2E8F6	UTC-01122
2E8F7	UTC-01123
2E932	UTC-01124
2E9F4	UTC-01125
2E9F5	UTC-01126
2EA5B	UTC-01131
2EAA3	UTC-01134
2EAA5	UTC-01135
2EAC2	UTC-01136
2EAD1	UTC-00214
2EB1C	UTC-01138
2EB1D	UTC-01137
2EB1E	UTC-01139
2EB1F	UTC-01140
2EB20	UTC-01141
2EB21	UTC-01142
2EB22	UTC-01143
2EB23	UTC-01144
2EB24	UTC-01145
2EB65	UTC-01147
2EB66	UTC-01149
2EB68	UTC-01151
2EB6A	UTC-01152
2EBD9	UTC-01153
2F882	UTC-00136
2F890	UTC-00123
2F918	UTC-00143
30002	UTC-00969
30008	UTC-00970
30009	UTC-00971
30053	UTC-00972
30061	UTC-00973
3006C	UTC-00974
3006F	UTC-01203
30072	UTC-00975
300DD	UTC-00977
300F7	UTC-01075
3011D	UTC-00978
30149	UTC-00979
3014A	UTC-00980
30170	UTC-00981
30174	UTC-00982
30179	UTC-00983
3018A	UTC-00984
30196	UTC-00985
301B3	UTC-00986
301BB	UTC-00987
301D2	UTC-00962
301D8	UTC-00963
301E1	UTC-00964
301E2	UTC-00988
301F0	UTC-00989
3020F	UTC-00966
30212	UTC-01172
30236	UTC-00965
30239	UTC-00968
3024B	UTC-01155
3025E	UTC-01178
30260	UTC-01204
30266	UTC-01205
3026B	UTC-01206
3026C	UTC-01207
3026D	UTC-01208
30270	UTC-00990
30278	UTC-01209
3027B	UTC-01210
3027E	UTC-01211
3028A	UTC-01212
30295	UTC-01213
30296	UTC-01215
30298	UTC-01216
3029D	UTC-01217
302A0	UTC-01218
302A7	UTC-01219
302AF	UTC-01221
302BA	UTC-01222
302C1	UTC-01223
302C5	UTC-01224
302C6	UTC-01225
302D9	UTC-00991
302DB	UTC-00992
302DC	UTC-00993
302DE	UTC-00994
302F7	UTC-00995
302FB	UTC-00996
30316	UTC-01156
30335	UTC-00997
3033B	UTC-00998
3034E	UTC-00999
30360	UTC-01226
30370	UTC-01000
30371	UTC-01001
30373	UTC-01260
30409	UTC-01003
30414	UTC-01004
3043A	UTC-01006
3043F	UTC-01008
3044A	UTC-01009
3044C	UTC-01010
30450	UTC-01011
3045D	UTC-01012
3045E	UTC-01013
3049B	UTC-01227
304CC	UTC-01014
304E2	UTC-01015
304E3	UTC-01016
304E8	UTC-01017
304ED	UTC-01018
3054E	UTC-01157
3057A	UTC-01019
305D1	UTC-01020
305DD	UTC-01021
305E0	UTC-01230
305E3	UTC-01074
305E4	UTC-01229
305F6	UTC-01022
30606	UTC-01231
3060C	UTC-01232
30630	UTC-01233
30631	UTC-01234
30632	UTC-01235
30639	UTC-01236
3065D	UTC-01158
3067D	UTC-01023
306D1	UTC-01025
306D3	UTC-01026
306D5	UTC-01238
306DA	UTC-01239
306EC	UTC-01027
306ED	UTC-01240
30708	UTC-01028
3070A	UTC-01202
3070B	UTC-01241
3070D	UTC-01242
30711	UTC-01243
30723	UTC-01245
30729	UTC-01200
30730	UTC-01246
30734	UTC-01247
3074E	UTC-01249
30759	UTC-01250
30760	UTC-01251
30761	UTC-01252
30762	UTC-01253
30765	UTC-01254
3076B	UTC-01255
3076C	UTC-01248
30776	UTC-01030
3077F	UTC-01259
30782	UTC-01261
30792	UTC-01262
30793	UTC-01263
3079C	UTC-01264
307AB	UTC-01265
307AC	UTC-01266
307BE	UTC-01267
307C6	UTC-01268
307CE	UTC-01269
307D0	UTC-01270
307D5	UTC-01271
307D6	UTC-01273
307D8	UTC-01083
307D9	UTC-01274
307E3	UTC-01275
307EA	UTC-01277
307ED	UTC-01278
307F7	UTC-01279
307FA	UTC-01280
30831	UTC-01031
30842	UTC-01032
3089E	UTC-01282
308F2	UTC-01033
3090D	UTC-01160
3094C	UTC-01034
30955	UTC-01035
30969	UTC-01036
30991	UTC-01283
30993	UTC-01037
309AA	UTC-01038
309AB	UTC-01039
309AE	UTC-03121
309C9	UTC-01085
30A18	UTC-01284
30A1B	UTC-01040
30A62	UTC-01042
30AA5	UTC-01285
30AA9	UTC-01043
30AB1	UTC-01044
30AFE	UTC-01045
30B04	UTC-01046
30B0A	UTC-01047
30B15	UTC-01048
30B43	UTC-01049
30B48	UTC-01163
30B4B	UTC-01050
30B5D	UTC-01051
30BBC	UTC-01164
30BD9	UTC-01228
30BF6	UTC-01052
30C21	UTC-01053
30C2B	UTC-01054
30C2C	UTC-01286
30C40	UTC-01174
30C53	UTC-01176
30C67	UTC-01177
30C69	UTC-01175
30C71	UTC-01096
30C78	UTC-01287
30C86	UTC-01288
30C88	UTC-01165
30C89	UTC-01289
30CBD	UTC-01055
30CC7	UTC-01056
30D4B	UTC-01057
30D55	UTC-01058
30D5D	UTC-01104
30D5F	UTC-01059
30D74	UTC-01105
30DDA	UTC-01167
30DDF	UTC-01060
30DE0	UTC-01109
30DE3	UTC-01061
30DE5	UTC-01110
30DF0	UTC-01290
30E01	UTC-01062
30E04	UTC-01063
30E37	UTC-01168
30E70	UTC-01064
30E79	UTC-01065
30EDD	UTC-01312
30EDE	UTC-00791
30F03	UTC-01066
30F21	UTC-01291
30F27	UTC-01292
30F29	UTC-01293
30F2A	UTC-01281
30F2B	UTC-01294
30F2C	UTC-01295
30F31	UTC-01296
30F32	UTC-01298
30F35	UTC-01299
30F40	UTC-01300
30F43	UTC-01303
30F45	UTC-01302
30F50	UTC-01306
30F52	UTC-01305
30F53	UTC-01308
30F59	UTC-01067
30F5F	UTC-01068
30F64	UTC-01069
30F82	UTC-01070
31050	UTC-01169
3106B	UTC-01170
31096	UTC-01309
310A8	UTC-01127
310AA	UTC-01071
310AF	UTC-01128
310B1	UTC-01129
310BB	UTC-01130
310FA	UTC-01132
31148	UTC-01133
3114C	UTC-01072
31151	UTC-01073
311A5	UTC-00955
311EE	UTC-00956
31254	UTC-01146
31288	UTC-01150
31350	UTC-03123
31379	UTC-03021
313BC	UTC-02973
313CA	UTC-03108
313CB	UTC-03030
313D5	UTC-03081
313E2	UTC-03082
313E4	UTC-03036
31408	UTC-03003
31426	UTC-03084
3145E	UTC-03044
314F0	UTC-03067
31580	UTC-02996
31583	UTC-03150
31587	UTC-02997
3158E	UTC-02991
3158F	UTC-02983
31596	UTC-03022
31598	UTC-02990
3159E	UTC-03000
315A2	UTC-03015
315A7	UTC-03011
315AB	UTC-03024
315AC	UTC-03049
315AD	UTC-03059
315B2	UTC-03071
315B3	UTC-03034
315B4	UTC-03035
315BE	UTC-03037
315C4	UTC-03014
315C5	UTC-03063
315CD	UTC-03032
315DA	UTC-03064
315E5	UTC-03033
315E8	UTC-03046
315EE	UTC-03027
315EF	UTC-03069
315F0	UTC-03016
31602	UTC-03085
31604	UTC-02992
31606	UTC-03060
31609	UTC-03066
3162E	UTC-03055
31632	UTC-03052
316B1	UTC-02981
316B2	UTC-03020
316C2	UTC-03017
316C6	UTC-03062
316C7	UTC-03028
316CF	UTC-03043
316D0	UTC-03042
316E4	UTC-03048
316E6	UTC-03026
316E8	UTC-03080
316EE	UTC-03045
3170E	UTC-03047
31712	UTC-02995
3175F	UTC-03087
31761	UTC-03088
3176B	UTC-02976
3176C	UTC-02977
317AB	UTC-02972
317CA	UTC-03147
317D3	UTC-03145
317DB	UTC-02978
317E1	UTC-00118
317FA	UTC-03089
31816	UTC-03125
31839	UTC-03142
3184B	UTC-00790
3187F	UTC-03004
31884	UTC-03057
318D5	UTC-03056
318E4	UTC-02984
31903	UTC-03092
3195C	UTC-03155
31970	UTC-03053
31977	UTC-03019
31994	UTC-03002
31995	UTC-03068
31A1A	UTC-03117
31A49	UTC-03050
31A4A	UTC-03079
31AA3	UTC-01258
31AA6	UTC-03112
31ACB	UTC-03151
31B16	UTC-03152
31B7F	UTC-03156
31BDE	UTC-03025
31C24	UTC-03007
31C25	UTC-02986
31C27	UTC-03031
31C2D	UTC-01159
31C2E	UTC-03061
31C33	UTC-03041
31C50	UTC-03074
31CBD	UTC-03094
31CD2	UTC-03095
31CED	UTC-03012
31CFE	UTC-02982
31D07	UTC-03029
31D10	UTC-03073
31D29	UTC-02999
31D2A	UTC-03070
31D3C	UTC-03146
31D54	UTC-03122
31DC8	UTC-02974
31DDC	UTC-03096
31E11	UTC-03008
31E16	UTC-02998
31E1B	UTC-02985
31E25	UTC-02988
31E27	UTC-03023
31E28	UTC-03013
31E2D	UTC-03157
31E4D	UTC-02979
31E7C	UTC-01162
31E99	UTC-03005
31EB2	UTC-03039
31EB3	UTC-03038
31ECB	UTC-03018
31F66	UTC-02980
31F6A	UTC-03040
31F7A	UTC-03097
31F9F	UTC-03099
31FA0	UTC-03100
31FF4	UTC-03113
32003	UTC-02975
3200A	UTC-03051
3201D	UTC-03001
32043	UTC-03143
32048	UTC-03144
320BA	UTC-03072
320C7	UTC-00315
320CD	UTC-03153
320FD	UTC-03137
320FF	UTC-03139
32100	UTC-02970
32109	UTC-03140
32111	UTC-03107
32117	UTC-02987
32149	UTC-03093
3214C	UTC-03010
32152	UTC-03006
32199	UTC-03077
321AB	UTC-03131
321E0	UTC-01307
3223C	UTC-03065
3224D	UTC-03078
322B5	UTC-03129
322B9	UTC-03075
322FC	UTC-03101
32302	UTC-03114
32303	UTC-03148
3230F	UTC-03141
32322	UTC-03102
32344	UTC-01311
32353	UTC-02989
3237C	UTC-03054
3238E	UTC-03158
323A0	UTC-03124
