34D8	UTC-00639
34E2	UTC-00509
34FE	UTC-00489
3536	UTC-00780
3538	UTC-00779
35E7	UTC-00551
379F	UTC-00628
3846	UTC-00199
393B	UTC-00085
3A09	UTC-00376
3A79	UTC-00271
3B3F	UTC-00732
3B74	UTC-00003
3BFD	UTC-00391
3D89	UTC-00075
4343	UTC-00634
43B0	UTC-00189
4C27	UTC-00237
4DB9	UTC-00120
4F4A	UTC-00331
5448	UTC-00122
5611	UTC-00354
5637	UTC-00356
57D3	UTC-00648
5F50	UTC-01005
64CB	UTC-00466
66B9	UTC-00543
671E	UTC-00367
6A64	UTC-00295
6C97	UTC-00763
6ECB	UTC-00777
77B9	UTC-00384
7941	UTC-00368
79DB	UTC-00718
7AB0	UTC-00116
7C86	UTC-00112
7DD0	UTC-00168
7FDB	UTC-00415
8692	UTC-00362
8821	UTC-00154
947D	UTC-00476
9855	UTC-00355
99EF	UTC-01310
9FB4	UTC-00077
9FB5	UTC-00078
9FB6	UTC-00079
9FB7	UTC-00080
9FB8	UTC-00081
9FBB	UTC-00082
9FBC	UTC-00836
9FBD	UTC-00835
9FBE	UTC-00837
9FBF	UTC-00838
9FC0	UTC-00839
9FC1	UTC-00840
9FC2	UTC-00841
9FC3	UTC-00878
9FCC	UTC-00867
9FCD	UTC-00606
9FCF	UTC-01171
9FD1	UTC-00959
9FD2	UTC-00958
9FD3	UTC-00957
9FD4	UTC-00953
9FD5	UTC-00954
9FD6	UTC-01197
9FD7	UTC-01198
9FD8	UTC-01196
9FD9	UTC-01183
9FDA	UTC-01181
9FDB	UTC-01191
9FDC	UTC-01184
9FDD	UTC-01187
9FDE	UTC-01186
9FDF	UTC-01190
9FE0	UTC-01189
9FE1	UTC-01192
9FE2	UTC-01195
9FE3	UTC-01182
9FE4	UTC-01180
9FE5	UTC-01185
9FE6	UTC-01179
9FE7	UTC-01193
9FE8	UTC-01188
9FE9	UTC-01194
9FED	UTC-01119
FA0C	UTC-00915
FA0D	UTC-00916
FA0E	UTC-00843
FA0F	UTC-00844
FA10	UTC-00917
FA11	UTC-00845
FA12	UTC-00918
FA13	UTC-00846
FA14	UTC-00847
FA15	UTC-00919
FA16	UTC-00920
FA17	UTC-00921
FA18	UTC-00922
FA19	UTC-00923
FA1A	UTC-00924
FA1B	UTC-00925
FA1C	UTC-00926
FA1D	UTC-00927
FA1E	UTC-00928
FA1F	UTC-00848
FA20	UTC-00929
FA21	UTC-00849
FA22	UTC-00930
FA23	UTC-00850
FA24	UTC-00851
FA25	UTC-00931
FA26	UTC-00932
FA27	UTC-00852
FA28	UTC-00853
FA29	UTC-00854
FA2A	UTC-00933
FA2B	UTC-00934
FA2C	UTC-00935
FA2D	UTC-00936
20094	UTC-00005
200D3	UTC-00076
206FC	UTC-00268
207E4	UTC-00512
20957	UTC-00220
20982	UTC-00169
20B81	UTC-00093
20BBE	UTC-00518
20BD6	UTC-00461
20CF6	UTC-00621
20F3B	UTC-00366
20F4A	UTC-00556
20FD1	UTC-00471
2100E	UTC-00570
210DC	UTC-00578
215F6	UTC-03058
217BE	UTC-00592
22016	UTC-00069
2219E	UTC-00100
221A1	UTC-00002
221C6	UTC-00323
221CA	UTC-00152
223BA	UTC-00150
22AEC	UTC-00049
22B8E	UTC-00370
22CBC	UTC-00650
23EF3	UTC-00691
250AB	UTC-00167
251A7	UTC-00070
2528D	UTC-00496
25531	UTC-00411
25746	UTC-00234
25DBE	UTC-00720
25ED7	UTC-00015
25FAF	UTC-00421
25FFC	UTC-00183
263F2	UTC-00125
26882	UTC-00734
268DD	UTC-00099
2696F	UTC-00548
26C29	UTC-00539
27039	UTC-00447
2718C	UTC-00658
27252	UTC-00743
272A5	UTC-00193
273AE	UTC-00428
2750A	UTC-00192
277B2	UTC-00246
27984	UTC-00200
279E2	UTC-00198
27A0D	UTC-00255
27B0C	UTC-00197
27BB8	UTC-00203
28DD6	UTC-00208
2918A	UTC-00210
29589	UTC-00191
29B81	UTC-00213
29BA4	UTC-00250
2A13A	UTC-00943
2A6D7	UTC-03160
2A6D8	UTC-03161
2A6D9	UTC-03162
2A6DA	UTC-03163
2A6DB	UTC-03164
2A6DC	UTC-03165
2A6DD	UTC-03166
2A798	UTC-00505
2A79D	UTC-00014
2A7B6	UTC-00094
2A848	UTC-00108
2A84F	UTC-00021
2A86C	UTC-00289
2A871	UTC-00541
2A8A7	UTC-00600
2A8AE	UTC-00028
2AA0A	UTC-00041
2AA17	UTC-00035
2AA27	UTC-00668
2AA72	UTC-00135
2AA9D	UTC-00115
2AAC7	UTC-00313
2ABA1	UTC-00646
2ABF2	UTC-00310
2AC19	UTC-00307
2AC5D	UTC-00174
2ADFC	UTC-00299
2AEB9	UTC-00107
2AED0	UTC-00056
2AF1F	UTC-00290
2AF6B	UTC-00279
2AFA2	UTC-00063
2B061	UTC-00047
2B088	UTC-00008
2B089	UTC-00939
2B08E	UTC-00181
2B099	UTC-00110
2B0B1	UTC-00055
2B0DC	UTC-00103
2B11F	UTC-00029
2B128	UTC-00036
2B138	UTC-00043
2B13A	UTC-00725
2B208	UTC-00292
2B230	UTC-00050
2B24B	UTC-00293
2B2D0	UTC-00104
2B300	UTC-00057
2B309	UTC-00196
2B328	UTC-00064
2B359	UTC-00009
2B35F	UTC-00016
2B362	UTC-00023
2B370	UTC-00037
2B372	UTC-00044
2B37B	UTC-00675
2B3CB	UTC-00051
2B3CE	UTC-00248
2B3F5	UTC-00175
2B404	UTC-00058
2B406	UTC-00031
2B409	UTC-00065
2B40C	UTC-00072
2B410	UTC-00010
2B413	UTC-00017
2B4B6	UTC-00102
2B4E7	UTC-00045
2B4E9	UTC-00059
2B50E	UTC-00066
2B5AF	UTC-00677
2B5E0	UTC-00011
2B5E6	UTC-00020
2B5E7	UTC-00073
2B5EB	UTC-00678
2B5EE	UTC-00018
2B5F4	UTC-00025
2B61C	UTC-00842
2B61D	UTC-00032
2B623	UTC-00039
2B624	UTC-00046
2B628	UTC-00053
2B688	UTC-00019
2B689	UTC-00060
2B692	UTC-00067
2B694	UTC-00074
2B695	UTC-00012
2B699	UTC-00027
2B6DA	UTC-00084
2B6DB	UTC-00026
2B6DE	UTC-00033
2B6E2	UTC-00040
2B6F2	UTC-00083
2B6F6	UTC-00054
2B6F8	UTC-00034
2B751	UTC-00857
2B753	UTC-00860
2B75A	UTC-00861
2B75C	UTC-00862
2B765	UTC-00873
2B777	UTC-00856
2B77C	UTC-00863
2B77E	UTC-00649
2B782	UTC-00864
2B78B	UTC-00865
2B794	UTC-00866
2B7AC	UTC-00868
2B7AF	UTC-00869
2B7BD	UTC-00858
2B7C9	UTC-00870
2B7D2	UTC-00871
2B7F0	UTC-00872
2B80D	UTC-00874
2B817	UTC-00875
2B81A	UTC-00859
2B823	UTC-00318
2B825	UTC-00006
2B851	UTC-00483
2B88A	UTC-00001
2B8AC	UTC-00007
2B8F9	UTC-00499
2B90A	UTC-00500
2B91A	UTC-00497
2B923	UTC-00501
2B93A	UTC-00504
2B945	UTC-00304
2B94B	UTC-00506
2B94E	UTC-00062
2B977	UTC-00430
2B97E	UTC-00510
2B98F	UTC-00511
2B99F	UTC-00426
2B9BC	UTC-00726
2B9D4	UTC-00285
2B9F1	UTC-00781
2B9F2	UTC-00782
2B9F3	UTC-00783
2B9F5	UTC-00513
2B9F6	UTC-00514
2BA22	UTC-00291
2BA25	UTC-00515
2BA39	UTC-00516
2BA4E	UTC-00517
2BA4F	UTC-00834
2BA5D	UTC-00519
2BA66	UTC-00004
2BA74	UTC-00885
2BA7D	UTC-00360
2BA7E	UTC-00388
2BA7F	UTC-00521
2BA88	UTC-00522
2BA8C	UTC-00346
2BA8D	UTC-00408
2BA92	UTC-00462
2BA93	UTC-00529
2BA9E	UTC-00524
2BAA2	UTC-00458
2BAAC	UTC-00785
2BAB1	UTC-00409
2BAB2	UTC-00530
2BAB3	UTC-00532
2BAB4	UTC-00533
2BAB5	UTC-00535
2BAB6	UTC-00537
2BAB7	UTC-00538
2BABB	UTC-00525
2BAC1	UTC-00534
2BAC3	UTC-00352
2BAC4	UTC-00379
2BAC5	UTC-00540
2BAC8	UTC-00404
2BACB	UTC-00542
2BAD0	UTC-00690
2BAD3	UTC-00552
2BAD4	UTC-00554
2BAD5	UTC-00561
2BADC	UTC-00549
2BADD	UTC-00558
2BADF	UTC-00560
2BAE0	UTC-00559
2BAE1	UTC-00545
2BAE2	UTC-00557
2BAE8	UTC-00463
2BAE9	UTC-00564
2BAF2	UTC-00351
2BAF6	UTC-00569
2BAF7	UTC-00571
2BAF8	UTC-00767
2BAFC	UTC-00565
2BAFF	UTC-00374
2BB00	UTC-00422
2BB02	UTC-00568
2BB03	UTC-00467
2BB07	UTC-00401
2BB08	UTC-00573
2BB09	UTC-00576
2BB0F	UTC-00575
2BB12	UTC-00407
2BB13	UTC-00579
2BB16	UTC-00348
2BB17	UTC-00577
2BB18	UTC-00387
2BB1B	UTC-00350
2BB1C	UTC-00584
2BB1D	UTC-00585
2BB1E	UTC-00587
2BB24	UTC-00378
2BB25	UTC-00412
2BB26	UTC-00574
2BB27	UTC-00586
2BB28	UTC-00436
